"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","description"
"Chargé de médiation culturelle et assistant de coordination (H/F)","88 - ST DIE DES VOSGES","88100","G1223","CDD","N/A","Temps plein","24 Mois","Bac+3, Bac+4 ou équivalents","Le Contrat Territorial d'Éducation Artistique et Culturelle (CTEAC) émane de la volonté de la communauté d'agglomération de Saint-Dié-des-Vosges de développer des actions d'éducation artistique et culturelle prenant en compte tous les temps de la vie et notamment le temps de l'éveil, le temps scolaire, les temps périscolaire, extrascolaire et familial et les jeunes adultes.  Le Musée Pierre-Noël, labellisé Musée de France, met en place de nombreuses actions de médiation autour de ses diverses collections.   Intégré au pôle Culture de l'Agglomération de Saint-Dié-Des-Vosges, et sous la double respon-sabilité de la coordinatrice du CTEAC ainsi que de la directrice du Musée Pierre-Noël, vous mettrez en place et mènerez des actions de médiation au sein du Musée, accompagnerez les porteurs de projet en et hors temps scolaire dans le montage des projets CTEAC et assisterez la coordinatrice du CTEAC dans les diverses missions courantes et de développement.  Missions : Médiation culturelle : - CTEAC : accompagner les écoles, collèges, lycées, associations et services de collectivi-tés dans la construction de leurs projets pédagogiques en lien avec des artistes ; - CTEAC et Musée : concevoir des activités et outils pédagogiques et de médiation adap-tées à différents types de publics ; - Musée : mener des actions de médiation telles que des visites.   Assistanat à la coordination du Contrat Territorial d'Éducation Artistique et Cultu-relle : - Assister la gestion courante liée au suivi des projets ; - Gérer les besoins logistiques liés aux projets ; - Valoriser les actions menées via des outils de communication actuels et à développer ; - Participer activement à la réflexion liée au développement des actions, en lien avec des publics-cibles définis ; - Organiser et participer activement aux diverses rencontres avec les partenaires.  Profil recherché :  Titulaire de la fonction publique catégorie A ou B (attaché ou rédacteur) ou contrac-tuel  Bac +3 / Bac +5 (médiation culturelle, ingénierie culturelle.) Sens du service public et compréhension du cadre hiérarchique  Expérience nécessaire en médiation culturelle Intérêt marqué pour le domaine artistique et culturel  Maîtrise de l'outil informatique et des logiciels bureautiques (word, excel, powerpoint)  Compétences rédactionnelles Compétences additionnelles appréciées : connaissance du territoire local, maîtrise de langues étrangères (notamment anglais), connaissance logiciel InDesign Permis B exigé  Avantages: - Mutuelle et prévoyance de groupe avec participation de l'employeur.  - Prise en charge des frais de transport en commun domicile/lieu de travail à hauteur de 75%.  - Carte Updéjeuner (ticket restaurant) avec participation employeur.  - Affiliation au CNAS. -Télétravail possible.   Particularités du poste : Travail occasionnel en soirée et week-end. Déplacements occasionnels sur le territoire de l'agglomération. Poste basé à Saint-Dié-des-Vosges.  Contact et informations complémentaires : Date de la prise de poste : dès que possible  Durée du contrat le cas échéant : CDD 1 an renouvelable Pour les titulaires, merci de bien vouloir transmettre votre dernier arrêté de situation administrative.  Contact : Delphine COURANT : Coordinatrice d'Education Artistique et Culturelle delphine.courant@ca-saintdie.fr - Tél. 06 79 04 23 16"
"Concepteur / Conceptrice pédagogique e-formation (H/F)","83 - LA GARDE","83130","K2111","CDI","Mensuel de 3000.0 Euros à 3500.0 Euros sur 12.0 mois","Temps plein","2 An(s)","Bac+5 et plus ou équivalents","Vous aurez en charge : - l'élaboration des scénarios - la création des contenus sur articulate - l'intégration dans moodle"
"Ingénieur-e de formation universitaire (H/F)","76 - LE HAVRE","76600","K2102","CDD","Mensuel de 1944.0 Euros à 2978.0 Euros sur 12.0 mois","Temps plein","1 An(s)","Bac+5 et plus ou équivalents","Le poste sera basé au sein de la Mission d'Appui à la pédagogie (MAP), pôle de la Direction de la Formation, de la Scolarité et de la vie étudiante (DFSVE).   Missions principales du poste :   En tant qu'Architecte de formation et IGE attaché au projet « Excellences », vous serez chargé de coordonner la transformation de l'offre de formation des licences en majeures/mineures dans le cadre la prochaine accréditation. Ce travail sera mené aux côtés des composantes et piloté par le VP CFVU. Vous participerez activement à la réorganisation des programmes académiques pour répondre aux nouveaux enjeux pédagogiques.  Vous serez rattaché à la Mission d'Appui à la Pédagogie et aurez, à ce titre, des missions pédagogiques d'accompagnement des enseignants : formations à animer, réponses aux questions techniques à apporter, travail d'équipe avec les autres membres de la MAP pour animer les thématiques telles que l'APC, la ludopédagogie, les compétences psycho sociales etc.  Activités principales : Coordination de l'axe 1 du projet Excellences, PIA4 :  Accompagner le projet de transformation pédagogique à l'échelle des licences : Collaborer avec les différentes composantes de l'université pour concevoir et implanter l'offre en majeures/mineures. Assurer la communication et la documentation du projet auprès des parties prenantes. Organiser et animer des groupes de travail multidisciplinaires autour du projet.  Accompagnement des enseignant-e-s : Former et sensibiliser les enseignants à la mise en place de l'Approche par Compétences, à l'internationalisation des formation et à leur hybridation.  Accompagner les équipes pédagogiques à la mise en place de maquettes sous format majeures/mineures. Proposer des ateliers pratiques sur l'ingénierie pédagogique, la scénarisation des séquences d'apprentissage et  l'usage des outils numériques en collaboration avec les autres ingénieurs pédagogiques de la MAP. Apporter un appui personnalisé aux enseignants dans la mise en œuvre des nouvelles méthodes pédagogiques.  Innovation pédagogique et ingénierie de formation : Analyser les besoins pédagogiques et co-construire des solutions adaptées en collaboration avec les responsables pédagogiques. Intégrer les principes des pédagogies actives (apprentissage par projet, pédagogie inversée, etc.). Participer à des initiatives régionales et nationales pour partager les bonnes pratiques et innover dans la formation supérieure.  Gestion du suivi pédagogique :  Assurer un suivi régulier des formations transformées, notamment sur l'impact des majeures et mineures sur la progression des étudiants. Produire des rapports d'évaluation du projet Excellences et ajuster les stratégies en fonction des retours en communiquant les résultats au conseil scientifique d'Excellences"
"Animateur de formation PAJ St-Brieuc (H/F)","22 - ST BRIEUC","22000","K2111","CDD","Mensuel de 1905.53 Euros sur 12.0 mois","Temps plein","3 An(s)","Bac+3, Bac+4 ou équivalents","Dans le cadre d'une nouvelle session PREPA Avenir Jeunes sur le territoire, sous la responsabilité de la directrice du pôle formation et par délégation de la cheffe de service, vous animez une Prestation Prépa Avenir Jeunes du dispositif de la Région Bretagne, s'adressant à des jeunes de 16 à 25 ans en démarche d'insertion sociale et professionnelle.  --- MISSIONS PRINCIPALES ---  --- ANIMER l'ensemble des modules de la Prépa Avenir Jeunes sur un groupe de 14 jeunes, en collectif :  - Positionnement sur les compétences sociales, professionnelles ou techniques, styles d'apprentissage, compétences clés, autonomie, - Accompagnement dans la définition et mise en œuvre des stratégies de résolution de problématiques périphériques - Accompagnement à l'autonomie et confiance en soi, connaissance de soi et de ses droits et devoirs - Sensibilisation au monde économique, remise à niveau des savoirs de base,   - Elaboration du projet professionnel de chaque jeune - Conduite et animation de projets collectifs : culturels, artistiques, sportifs .  - Recherche et suivi de stage - Appui possible sur les autres actions  --- ASSURER l'accompagnement individuel des stagiaires - Mise en place et suivi de l'évaluation formative et des compétences acquises des stagiaires - Accompagner la personne dans la levée des freins à l'accès à l'emploi ou à la formation  --- TRAVAIL EN PARTENARIAT  - Recherche de partenariats pour interventions au sein des groupes de formation - Mise en place d'ateliers en extérieur  - Découverte du territoire auprès des stagiaires   --- Profil --- - Connaissance des publics jeunes et mineurs en insertion sociale et professionnelle exigée   - Compétences attendues en animation exigées  - Travail en partenariat et en réseau  - Qualité relationnelle avec les partenaires et développement de partenariat - Rigueur administrative - Capacités à organiser, planifier et être force de propositions dans une dynamique constructive - Niveau 5 exigé avec expérience  - Permis B et véhicule de service  - Type de contrat : CDDU de 6 mois / Temps de travail : 35h00 - Prise de poste : Début Janvier 2025 - Lieu de travail : Saint-Brieuc - déplacements possible sur les autres sites de l'association / véhicule de service - Salaire en application des accords collectifs NEXEM - Salaire de base : 1 905,63 € brut mensuel base temps plein - Avantages : titres-restaurant (ancienneté d'un mois minimum), mutuelle de base prise en charge à 80% par l'employeur, 9 jours de repos compensateur sur 3 trimestres, Prévoyance, Plan d'Epargne Interentreprises (sous conditions), 1% logement, avantages CSE."
"Brasseur / Brasseuse de bière (H/F)","974 - LES AVIRONS","97425","A1413","CDI","Annuel de 25000.00 Euros à 30000.00 Euros sur 12 mois","Temps plein","1 An(s)","Bac+5 et plus ou équivalents","Vous mettrez en oeuvre et superviserez les étapes de fabrication, de conservation et de conditionnement de bières selon les réglementations de fabrication, les réglementations AOC (Appellation d'Origine Contrôlée), les règles d'hygiène et de sécurité alimentaires et les critères qualité de l'entreprise.  Vous avez obligatoirement une première expérience en gestion de la qualité ou en production en IAA. Vous serez amené(e) à transporter des charges lourdes (sacs malts, fûts, ...) Vous êtes impérativement ingénieur(euse) des IAA. Vous serez formé(e) par la brasserie. "
"Administrateur systèmes/réseaux senior (H/F)","69 - VILLEURBANNE","69100","M1801","CDI","N/A","Temps plein","10 An(s) - Poste similaire (JV idéalement)","Bac+3, Bac+4 ou équivalents","En totale autonomie sur le poste, vous serez sous la responsabilité de notre CTO Vos missions : - Vous aurez la responsabilité complète de notre infrastructure, y compris la gestion des firewalls, des NAS, des sauvegardes internes et externes et autres composants critiques, en collaboration avec nos partenaires spécialisés. - Vous prendrez en charge la sécurité globale de notre entreprise, en mettant en place et en améliorant continuellement des solutions de sécurisation des systèmes matériels et logiciels. - Vous assurerez la création, la mise à jour et l'enrichissement de la base de connaissance IT, permettant de documenter les procédures, les configurations et les meilleures pratiques. - Vous serez responsable du référencement et de la gestion du matériel de l'entreprise, en assurant un suivi précis des équipements utilisés et disponibles, ainsi que de la gestion des stocks et de l'attribution du matériel. - Vous garantirez que tous les équipements nécessaires pour les réunions (vidéoconférences, projecteurs, etc.) sont fonctionnels et à jour. - Vous aurez un rôle proactif dans l'écoute des besoins des équipes, en proposant et en mettant en œuvre des solutions technologiques adaptées pour améliorer leur productivité et leur confort. - Vous serez chargé(e) d'identifier les opportunités d'amélioration de notre infrastructure matérielle et d'implémenter des solutions innovantes pour soutenir la croissance de l'entreprise. - Vous piloterez des projets d'envergure, de la planification à la mise en œuvre, en assurant la gestion des budgets, des ressources, et des délais. - Vous resterez à l'affût des nouvelles technologies, des tendances de l'industrie, et proposerez des innovations pour maintenir notre studio à la pointe de la technologie. - Vous superviserez la configuration, la préparation, et l'entretien des postes de travail, en assurant une standardisation des processus et une efficacité opérationnelle. - Vous serez le référent technique en cas de problèmes complexes rencontrés par les équipes, en assurant une résolution rapide et efficace.  Profil recherché : - Minimum 10 ans d'expérience dans un poste similaire, idéalement dans le secteur du jeu vidéo ou dans un environnement créatif/technique. - Maîtrise des environnements Windows et Linux, systèmes de virtualisation(KVM, Hyper-V), réseaux, ainsi que de Docker et des outils de gestion de sécurité.  Une expérience avec des infrastructures cloud serait un plus. - Expérience avérée dans la gestion de projets IT d'envergure, avec des compétences en planification, gestion de budget, et conduite du changement. - Excellentes compétences en communication, vous avez un bon relationnel et savez travailler en équipe. - Vous avez la capacité à vulgariser des concepts techniques pour des équipes non techniques. - Vous savez anticiper les besoins, résoudre les problèmes avant qu'ils ne deviennent critiques, et proposer des solutions innovantes. - Diplôme en informatique, ingénierie ou domaine connexe. Des certifications en gestion de projet (ITIL, PMP) ou en sécurité (CISSP) seraient un plus. - Appétence pour le management"
"Conseiller / Conseillère en insertion professionnelle       (H/F)","19 - BRIVE LA GAILLARDE","19100","K1801","CDD","Mensuel de 2071.0 Euros à 2197.0 Euros sur 12.0 mois","Temps plein","6 Mois","Bac+2 ou équivalents","Vous accompagnez des publics demandeurs d'emploi dans leurs parcours de retour à l'emploi (appui à la définition et à la validation du projet professionnel - découverte de l'environnement économique- accompagnement à la recherche d'immersions professionnelles - apports méthodologiques sur les TRE , définition du plan d'action personnel).  Vous maîtrisez les techniques d'animation collectives. Vous intervenez au sein d'une équipe déjà constituée. Une première expérience dans l'accompagnement des demandeurs d'emploi  est exigée   Mise à disposition d'un PC Portable et téléphone. Primes. Poste à pourvoir à partir de décembre 2025 ."
"Ref CO IPT  INGENIEUR PROJETS TRAVAUX (H/F)","93 - NOISY LE GRAND","93160","H2502","CDI","Annuel de 38000.0 Euros à 45000.0 Euros sur 12.0 mois","Temps plein","1 An(s)","N/A","Ref CO IPT  INGENIEUR PROJETS TRAVAUX Société spécialisée dans la conception et la gestion des réseaux de chaleur et frigorifique très sensible aux problématiques de l'efficacité énergétique et des énergies renouvelables : géothermie- bois- incinération de déchets  Afin de répondre aux défis de la transition énergétique et au développement de ses activités elle crée un poste d'Ingénieur Projets Travaux en Ile de France  Missions :   Auprès de la Direction Ingénierie et Travaux neufs, au sein d'une équipe d'une quarantaine  de personnes, vous étudiez, planifié et contrôlez pilotez la réalisation de projets destinés à la construction ou la maintenance  de réseaux de chaleur (production-transport-sous stations. Dans ce cadre, vous :  - Réalisez les études de dimensionnement des réseaux en conformité avec le cahier des charges - Supervisez la réalisation des travaux et participez à la mise en service des installations conformément aux dispositions contractuelles - Etablissez les documents supports aux projets   Profils :       -      Bac +5 ingénieur généraliste avec des acquis en énergie et thermique  -  Expérience minimum de 1 an en  ingénierie ou travaux CVC -   Familier du management de projet -   Rigoureux et impliqué -   Autonome -   Excellent relationnel pour travail en équipe   Poste basé   Noisy le Grand  (93)"
"Ref CO IPT  INGENIEUR PROJETS TRAVAUX (H/F)","69 - LYON 06","69006","H2502","CDI","Annuel de 38000.0 Euros à 45000.0 Euros sur 12.0 mois","Temps plein","1 An(s)","N/A","Ref CO IPT  INGENIEUR PROJETS TRAVAUX Société spécialisée dans la conception et la gestion des réseaux de chaleur et frigorifique très sensible aux problématiques de l'efficacité énergétique et des énergies renouvelables : géothermie- bois- incinération de déchets  Afin de répondre aux défis de la transition énergétique et au développement de ses activités elle crée un poste d'Ingénieur Projets Travaux en Ile de France  Missions :   Auprès de la Direction Ingénierie et Travaux neufs, au sein d'une équipe d'une quarantaine  de personnes, vous étudiez, planifié et contrôlez pilotez la réalisation de projets destinés à la construction ou la maintenance  de réseaux de chaleur (production-transport-sous stations. Dans ce cadre, vous :  - Réalisez les études de dimensionnement des réseaux en conformité avec le cahier des charges - Supervisez la réalisation des travaux et participez à la mise en service des installations conformément aux dispositions contractuelles - Etablissez les documents supports aux projets   Profils :       -      Bac +5 ingénieur généraliste avec des acquis en énergie et thermique  -  Expérience minimum de 1 an en  ingénierie ou travaux CVC -   Familier du management de projet -   Rigoureux et impliqué -   Autonome -   Excellent relationnel pour travail en équipe   Poste basé   Noisy le Grand  (93)"
"Chargé de missions grands projets H/F","79 - AIGONDIGNE","79370","K1404","CDD","Mensuel de 2036.20 Euros à 3337.64 Euros sur 12 mois","Temps plein","2 An(s)","Bac+2 ou équivalents","La Commune d'Aigondigné s'est engagée dans une démarche de grands projets et une gestion dynamique de son patrimoine bâti ainsi que de grands travaux de voirie. Dans ce cadre, vous avez la responsabilité d'assurer la conduite et la coordination des projets majeurs de la collectivité de la phase d'avant-projet jusqu'aux phases de réception et de livraison. Vous assumez des fonctions de coordinateur pour des opérations de constructions neuves ou d'aménagement de l'existant et celles de représentant technique du maître d'ouvrage, lorsque la maîtrise d'œuvre est externalisée.  ACTIVITÉS : Suivi des opérations de constructions neuves ou en rénovation et gestion patrimoniale de la Commune : Assurer les fonctions de coordinateur pour les projets majeurs de la collectivité Participer à la conception des bâtiments confiés en maîtrise d'œuvre interne Mettre en œuvre et suivre la programmation pluriannuelle de maintenance et d'aménagement des bâtiments communaux Contribuer à rationaliser le patrimoine immobilier de la collectivité Etudes, coordination et suivi des travaux : Mettre en œuvre les orientations stratégiques de la collectivité en matière de patrimoine bâti Piloter des projets de réalisation de construction sur le plan technique, administratif, financier et réglementaire, en y associant les services gestionnaires Assurer les missions de faisabilité, de diagnostic d'avant-projet jusqu'aux phases de réception et de suivi de parfait achèvement Accompagner les projets dans une logique de coordination, de transversalité et de concertation Assurer la préparation des contrats en lien avec les projets que vous suivez Représenter le service et la collectivité dans les réunions aussi bien internes qu'externes Gestion administrative et budgétaire : Assurer la planification et la convocation aux réunions rendues nécessaire par le suivi des opérations et le coordination et suivi des travaux, Assurer la rédaction et la diffusion des comptes-rendus des réunions et commissions après validation par la direction générale, Rechercher et mettre en œuvre les actions de financements des grands projets en lien avec la gestionnaire comptable (Subventions .)  - Relations directes et permanentes avec le DGS-Maire - Echanges avec les élu(e)s référents - Relations fréquentes avec l'ensemble des services de la commune - Relations permanentes avec les partenaires privés (entreprises, fournisseurs, bureaux d'études, maîtres d'œuvres, architectes.) - Echanges avec les partenaires institutionnels (Etat, Région, Collectivité.) "
"Chargé(e) de Projet Formation (H/F)","75 - PARIS 03","75003","K2111","CDI","Annuel de 32946.00 Euros sur 12.0 mois","Temps plein","2 An(s) - formation professionnelle","Bac+5 et plus ou équivalents","En collaboration avec la directrice, votre poste demandera le montage d'actions de formation , autour des savoirs de base principalement. Vous serez amené(e) à coordonner des projets de"" formation"" qui doivent lier le plus souvent linguistique et approche métier. vous serez amené(e) à dispenser le FOS sur certains dispositifs dont vous êtes responsable en termes de coordination. Votre expertise dans l'accompagnement de projets de formation sera sollicitée pour accompagner au mieux les publics en insertion. Missions :  * Développement d'une offre de formation mutualisée, coordination de projets formation : identification des besoins ; élaboration de contenus ; création et diffusion d'outils pour la recherche de prestataires et gestion des mises en concurrence (marchés publics, appels d'offres...). * Formation des bénéficiaires, généralement, salariés en insertion vers lesquels une pédagogie différenciée est nécessaire. * Accompagnement de structures d'insertion dans le montage de leurs projets de formation. * Rédaction de compte rendu.  Savoirs :  Très bonne connaissance des dispositifs de la formation professionnelle. Grand intérêt pour les problématiques d'insertion professionnelle. Savoir prendre en considération les délais de l'action à mener (savoir rythmer un projet, élaborer un phasage, prise en compte des deadline)"
"Responsable Pédagogique EMCA  (H/F)","16 - ANGOULEME","16000","K2102","CDI","Mensuel de 2900.0 Euros à 3000.0 Euros sur 13.0 mois","Temps plein","2 An(s)","Bac+3, Bac+4 ou équivalents","L'Ecole des Métiers du Cinéma d'Animation (EMCA) est une école de la Chambre de Commerce et d'Industrie de la Charente créée en 1999. L'école est soutenue par le Pôle Image Magelis depuis sa création et compte parmi les écoles françaises de référence.  L'EMCA assure une formation supérieure répondant aux exigences techniques évolutives de ces métiers, tout en permettant l'accomplissement du potentiel créatif de ses étudiant.e.s.  La formation se développe sur cinq années (Bachelor en trois ans puis Mastère en deux ans) qui conduisent progressivement des acquisitions techniques à la réalisation de projets personnels qui pourront être présentés dans les sélections des festivals de cinéma d'animation.   L'EMCA a en outre l'ambition de couvrir l'ensemble des métiers du cinéma de l'animation, soit une vingtaine de postes. Créativité individuelle et collective, réflexion sur les contenus, connaissance des auteurs, vision large du métier, compréhension de toute la chaîne de travail, souplesse et maîtrise technique, sensibilisation à l'hybridation des techniques sont visés. Pour ce faire, la formation s'appuie sur une centaine de professionnels extérieurs venant enseigner à l'école, en complément de l'équipe de permanents, également issus de ce milieu professionnel.  L'EMCA est membre du Réseau des Ecoles françaises de Cinéma d'Animation (RECA) et fait partie des quinze écoles qui composent le Campus de l'Image d'Angoulême.  Description du poste : Sous l'autorité de la direction et en coopération étroite avec l'équipe pédagogique permanente, le ou la responsable pédagogique est chargé.e de la conception de la pédagogie, de sa mise en œuvre, du contrôle régulier de la qualité des formations (évaluation), de la définition et de la mise en œuvre des procédures de leur perfectionnement continu.    Détail des missions et des responsabilités :   Sous l'autorité de la direction et en lien avec les équipes pédagogiques :  1- Pilotage de la pédagogie - Concevoir et mettre en œuvre les orientations pédagogiques de l'établissement - Définir le schéma des études et les maquettes pédagogiques spécifiques à chaque promotion et à chaque parcours de formation - Assurer la planification et la coordination des enseignements - Organiser et animer les réunions pédagogiques et travailler de manière continue avec les référents des différentes promotions - Rechercher et recruter les intervenants professionnels les plus à même de répondre aux objectifs pédagogiques des formations - Rédiger les syllabus des cours en lien avec les intervenants professionnels  - Mettre en place et superviser les évaluations des projets étudiants, élaborer les grilles d'évaluation, organiser les soutenances de fin d'année  2- Mise en œuvre de la démarche qualité des formations et leur conformité - Mettre en place des démarches d'auto-évaluation des formations : évaluation des enseignements et des formations - Mettre en place des indicateurs d'activité des intervenant.e.s - Réaliser des enquêtes auprès des anciens étudiant.e.s, des suivis de cohorte et valoriser les résultats - Définir et mettre en oeuvre des procédures de perfectionnement continu - Superviser les certifications dans le respect des exigences des organismes certificateurs  3- Développement des relations avec les studios d'animation et les acteurs institutionnels du secteur - Participer au Comité d'Orientation de l'école réunissant les studios locaux - Développer les relations avec les studios d'animation régionaux, nationaux et internationaux  - Participer et représenter l'établissement dans les grands évènements professionnels : Festival d'Annecy, Festival de Rennes, RADI-RAF,. - Participer au RECA  4- Développement des partenariats pédagogiques et artistiques - Participer à la prospection, l'élaboration et la mise en oeuvre de partenariats à l'échelle locale, nationale et internationale avec les établissements d'e"
"Ref CO  RPEIA    Responsable du Pôle EIA (H/F)","93 - NOISY LE GRAND","93160","H1206","CDI","Annuel de 60000.0 Euros à 75000.0 Euros sur 12.0 mois","Temps plein","10 An(s)","N/A","Ref CO  RPEIA    Responsable du Pôle EIA Société spécialisée dans la gestion des réseaux de chaleurs et frigorifiques très sensibles aux problématiques de l'efficacité énergétique et des énergies renouvelables : géothermie- bois- incinération de déchets  Elle est à la recherche de son Responsable du Pôle Electricité-Instrumentation Automatisme  Missions :  Au sein de la Direction Informatique vous encadrez d'une part l'équipe EIA et d'autre part celle dédiée à l'Architecture d'informatique industrielle ce qui nécessite : - de disposer d'une expertise en MCO pour les installations existantes ainsi que pour les projets - d'encadrer vos équipes dont leurs performances, leurs suivi et besoins - de suivre la progression des projets  - de planifier les ressources et de gérer les priorités - d'assurer une communication de qualité avec vos partenaires - de gérer des partenariats   Dans ce cadre des déplacements sur l'hexagone sont à prévoir. Télétravail envisageable sur la base de 2j/semaine  Profils :       -      Bac + 5   ingénieur EIA -  Expérience minimum de 10 ans en BE, ingénierie, entreprise,.. -  Connaissances solides en électricité -instrumentation -automatisme   -  Connaissances en régulation hydraulique -  Références en Management -  Rigoureux et impliqué -  Autonome -  Capacité d'analyse et de synthèse - Excellent relationnel   Poste basé   Noisy le Grand (93)"
"Chef(fe) de service pédagogique à l'ESRP VIVRE (H/F)","94 - ARCUEIL","94110","K2102","CDI","Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois","Temps plein","10 An(s)","Bac+5 et plus ou équivalents","Poste à pouvoir : Chef(fe) de service pédagogique à l'ESRP VIVRE.  Contrat : CDI temps plein au statut de cadre.  Disponibilité : Dès que possible. Missions du poste : Placé-e sous la responsabilité de la Direction de l'ESRP (Établissement et Service de Réadaptation Professionnelle), le-la chef-fe de service pédagogique contribue, en accord avec le projet de l'association, à la réalisation des objectifs de l'établissement et au développement de sa dimension expérimentale grâce à sa propre capacité d'innovation.  Activités principales :  - Assurer le reporting hebdomadaire du service et rendre compte régulièrement à la hiérarchie de l'activité de formation ;   - Manager le service (formateurs, secrétariat, chargée d'insertion, chargée de mission, coordinateurs-trices, psychologue du travail) ;  - Gérer le calendrier des actions et le planning des déléguées de formation ;  - Organiser et animer les réunions de l'équipe pédagogique ;  - Assurer les entretiens annuels d'évaluation des personnels ; - Participer à l'élaboration du plan annuel de formation et veiller à sa bonne application ; - Mettre en place des stratégies pédagogiques adaptées aux apprenants - Concevoir et mettre en œuvre les dispositifs d'évaluation en respect des textes législatifs et réglementaires en vigueur ;  - Superviser et valider le planning des formateurs ;  - Veiller à l'application du règlement intérieur et contrôler la conformité administrative des actions de formation ; - Analyser l'existant et être force de proposition pour d'éventuels axes d'amélioration ;  Activités annexes :  Contribution aux activités qui relèvent du fonctionnement de l'association : Participer aux réunions d'équipes en fonction des nécessités ; Réaliser, en concertation avec l'équipe, les entretiens de régulation et de recadrage ; Remédier à tout dysfonctionnement d'ordre matériel et organisationnel (respect des règles de vie, vie des stagiaires, règlement intérieur, relation avec les partenaires externes...) ; Liaisons fonctionnelles interne et externe.  Lieu de travail : Arcueil    Profil : De formation supérieure Bac+5, vous avez une expérience confirmée d'au moins 10 ans en management et en coordination d'équipe pluridisciplinaire, et bénéficiez d'une solide maitrise de l'ingénierie de formation.  Doté-e d'un bon relationnel, vous possédez un sens de l'écoute avéré et de bonnes capacités d'adaptation et de prise d'initiatives. Vous savez articuler les attendus des partenaires et de l'institution avec la réalité et les besoins de terrain.   Reconnu-e pour votre empathie et votre sens de la pédagogie, de l'organisation et maitrisez les techniques de recrutement et les outils informatiques. des responsabilités, vous savez fédérer autour d'un projet. Vous savez définir les besoins en formation de vos collaborateurs, vous  Rémunération : 45/50 K€/An  Conditions et avantages : Tickets restau ; 6 semaines de CP ; + à minima 18 jours de repos supplémentaire ; Mutuelle d'entreprise.  *Candidature : CV + lettre de motivation par courriel : rh@vivre-asso.com"
"Charge de projets ingenierie F/H (H/F)","60 - BEAUVAIS","60000","H1206","CDI","N/A","N/A","Débutant accepté","N/A","Vous souhaitez combiner activités de terrain et de bureau, contribuer à la performance du réseau de distribution d'électricité en construisant les réseaux de demain, plus intelligents, plus fiables, et plus souples ? Le métier de chargé(e) de projets est fait pour vous ! Votre objectif : mener à bien les différentes phases des chantiers qui vous sont confiés en respectant les coûts, les délais et en obtenant la satisfaction du client. Rattaché(e) au Pôle Travaux de Beauvais de l'agence ingénierie, vous assurez le traitement des demandes de déplacement d'ouvrages, de renouvellement des réseaux, de raccordement au réseau Public de Distribution, qu'il s'agisse de projets individuels, collectifs et petits producteurs Basse Tension, quand ils entraînent la modification du réseau BT ou HTA.  Vos missions :analyser les besoins relatifs aux dossiers confiésréaliser les études et les chiffrages des projets de création et de renouvellement des ouvrages de distribution d'électricité ou d'alimentation de nouveaux clientsassurer le relationnel client tout au long du chantiercoordonner les différents intervenants internes et externesprogrammer et suivre la réalisation des travaux jusqu'à leur mise en serviceréceptionner les chantiersEn étroite relation avec l'ensemble des parties prenantes internes et externes, vous êtes garant(e) du bon déroulement de vos chantiers dans le respect des règles techniques, administratives, règlementaires, comptables et de sécurité régissant le domaine ingénierie, et assurez la bonne gestion patrimoniale des ouvrages (cartographie, valorisation financière).  En tant qu'interlocuteur privilégié du client, vous l'accompagnez dans ses démarches en le conseillant sur les aspects organisationnels, techniques et financiers tout au long de son projet.  Vous participez à votre sécurité et à celle des autres en évaluant les dispositions à retenir dans le domaine de la prévention des risques. Découvres les missions du Chargé de Projet Ingénierie sur : https://youtu. be/XHsD0VUIuwc?list=PLedz2VE8hURQTES88d-jsovip81lMA_cKConformément aux engagements pris par Enedis en faveur de l'accueil et de l'intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous sous réserve de l'accord de la médecine du travail."
"Chef de Projet Ingénierie Nucléaire H/F","France","N/A","H1225","CDI","N/A","N/A","Débutant accepté","N/A","Une entreprise mondialement reconnue, spécialisée dans le développement de solutions technologiques innovantes et dans l'accompagnement de projets complexes à forte valeur ajoutée dans le secteur nucléaire.En tant que Chef de Projet, vous avez la charge de la planification, de la mise en œuvre et de la livraison des projets en veillant à la performance globale en termes de Qualité, Coûts et Délais (QCD). Vos principales missions incluent : Superviser les équipes opérationnelles sous votre responsabilité, Garantir la rentabilité des projets et respecter les engagements contractuels, Structurer et organiser les projets, assurer leur suivi et pilotage, Collaborer avec les managers opérationnels pour assurer le bon déroulement des projets, Veiller à l'application des méthodes et outils de gestion de projet, Apporter un soutien aux équipes projets en cas de difficulté, Capitaliser sur les expériences des projets achevés, Animer et coordonner les actions d'amélioration des processus et de la production, Participer à l'évolution et au développement des projets en cours, Contribuer à la réponse aux appels d'offres. Ce rôle vous place au cœur des enjeux stratégiques des projets, en assurant leur succès à travers une gestion proactive et efficace.Salaire attractif, télétravail, projet de grandes envergures."
