"intitule","lieuTravail.libelle","lieuTravail.codePostal","romeCode","secteurActivite","codeNAF","typeContrat","salaire.libelle","dureeTravailLibelleConverti","experienceLibelle","formations.niveauLibelle","qualificationCode","qualificationLibelle","description"
"Chargé d'Études Marketing (H/F)","59 - VILLENEUVE D ASCQ","59650","M1403","73","73.20Z","CDI","Mensuel de 2000.0 Euros sur 12.0 mois","Temps plein","12 Mois","Bac+5 et plus ou équivalents","6","Employé qualifié","C'est dans le cadre de notre développement que nous recherchons aujourd'hui un(e) Chargé(e) d'études junior. Votre mission : Vous intégrerez le service étude et serez amené(e) à travailler en étroite collaboration avec l'un de nos directeurs de pôle. - Conception de l'étude : élaboration des questionnaires, du support de brief enquêteurs, du planning. - Réalisation de l'étude : suivi des études, contrôle qualité et dépouillement des fichiers de données, gestion de la relation client. - Analyse et recommandation : élaboration du rapport client, conception des supports de communication des mesures auprès de nos clients, participation à la présentation des résultats, rédaction des recommandations.  Votre profil : - Formation de niveau BAC + 5 (3e cycle option marketing ou études, école de commerce). - Vous avez une expérience d'1 à 2 ans en traitement d'études avec une expertise dans les études clients mystères et/ou la mesure de l'expérience client dans les réseaux de distribution. - Vous maîtrisez parfaitement les principaux logiciels bureautiques (la maîtrise d'Excel est indispensable). La maîtrise du logiciel d'analyse de données SPSS est un plus. - Vous avez envie de travailler en mode projet au sein d'une équipe à taille humaine (110 collaborateurs au siège). - La pratique de de l'anglais ou d'une autre langue serait un plus. - Vous êtes enthousiaste à l'idée d'être en contact quotidien avec nos clients, vous qui êtes curieux(se), créatif(ve), dynamique, rigoureux(se), organisé(e).  Notre proposition : Contrat : CDD dans nos locaux à Villeneuve d'Ascq à proximité du LAM, 37h par semaine, 10 RTT par an, Charte de télétravail, Tickets restaurants 8€/jour, Remboursement du titre de transport à hauteur de 50%, Avantages CSE, Salaire : à négocier selon le profil  Process de recrutement : Découvrez dès maintenant l'expérience TOPO Marketing à travers notre livret d'expérience collaborateur : https://www.topo-marketing.com/getattachment.asp?ID=2150173&Password=2C57C70B56FF4170BF94ED2AFC75842FC4D4DF08B02D4FDFBE1E725B9BF52AB6.  Si votre candidature retient notre attention, vous serez contacté par Chloé ou Valentin de notre équipe recrutement pour un premier échange téléphonique. En fonction du profil de poste vous serez ensuite reçu par le manager de l'équipe concernée et éventuellement par un membre de la direction. Un test de langue ou une étude de cas pourront vous être proposés si cela est pertinent pour le poste visé.  Nous croyons fermement en la diversité et l'inclusion. Chez TOPO Marketing, chaque individu est valorisé pour ses compétences et sa contribution unique. Nous vous encourageons à postuler, convaincus que notre processus de sélection est fondé sur le mérite, sans aucune forme de discrimination. Nous sommes impatients de recevoir votre candidature et de collaborer avec des professionnels talentueux et motivés pour construire ensemble un environnement de travail respectueux et épanouissant."
"Assistant Chargé d'Études (Marketing/Statistiques) (H/F)","59 - VILLENEUVE D ASCQ","59650","M1403","73","73.20Z","CDI","Mensuel de 1950.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","Bac+3, Bac+4 ou équivalents","6","Employé qualifié","Votre mission : En tant qu'Assistant Chargé d'Études, vous accompagnerez le chef de projet dans la mise en place et le contrôle de différentes études.  Cette mission s'articule autour de 3 axes majeurs : - La coordination et le suivi des projets entre les départements Terrain et Etudes (respect des délais et des consignes), - Le contrôle et traitement des données (quantitatives et qualitatives sous SPSS et Excel), - La gestion de nos outils informatiques de communication des résultats (paramétrage et programmation).  Votre profil : Idéalement de formation typeB.U.T. STID (Statistique et Informatique Décisionnelle), - Vous aimez les chiffres et êtes à l'aise dans la manipulation des fichiers et des données (notamment sous EXCEL), - Vous êtes un esprit logique, rigoureux, curieux, impliqué et organisé ! - La connaissance des logiciels SPSS / Voxco / Shopmetrics serait un plus. - Une 1ère expérience en cabinet d'études marketing serait l'idéal ! Formation : Bac +3 à Bac +5 dans le domaine du marketing, relation client  Notre proposition : Contrat : CDD dans nos locaux à Villeneuve d'Ascq à proximité du LAM, 37h par semaine, 10 RTT par an, Charte de télétravail, Tickets restaurants 8€/jour, Remboursement du titre de transport à hauteur de 50%, Avantages CSE, Salaire : à partir de 1950€/mois (à négocier selon le profil)  Process de recrutement : Découvrez dès maintenant l'expérience TOPO Marketing à travers notre livret d'expérience collaborateur : https://www.topo-marketing.com/getattachment.asp?ID=2150173&Password=2C57C70B56FF4170BF94ED2AFC75842FC4D4DF08B02D4FDFBE1E725B9BF52AB6.  Si votre candidature retient notre attention, vous serez contacté par Chloé ou Valentin de notre équipe recrutement pour un premier échange téléphonique. En fonction du profil de poste vous serez ensuite reçu par le manager de l'équipe concernée et éventuellement par un membre de la direction. Un test de langue ou une étude de cas pourront vous être proposés si cela est pertinent pour le poste visé.  Nous croyons fermement en la diversité et l'inclusion. Chez TOPO Marketing, chaque individu est valorisé pour ses compétences et sa contribution unique. Nous vous encourageons à postuler, convaincus que notre processus de sélection est fondé sur le mérite, sans aucune forme de discrimination. Nous sommes impatients de recevoir votre candidature et de collaborer avec des professionnels talentueux et motivés pour construire ensemble un environnement de travail respectueux et épanouissant."
"assistant administratif, commercial, marketing & gestion H/F","50 - SIOUVILLE HAGUE","50340","D1401","77","77.21Z","CDI","Mensuel de 1900.00 Euros à 2500.00 Euros sur 12.0 mois","Temps plein","Débutant accepté","Bac+2 ou équivalents","6","Employé qualifié","A pourvoir à partir de Février 2025. Il s'agit d'assister et suppléer le gérant:  - dans l'activité commerciale de Cap West et l'administration des ventes - dans les tâches administratives et la comptabilité - dans le développement commercial de Cap West, - dans la communication & le marketing de Cap West. Vous prendrez en charge la relation commerciale avec la clientèle et le suivi du processus commercial : - accueil téléphonique des clients - réalisation des devis clients et agences sur le logiciel de réservation (Mr Booking), - gestion du planning, - relances commerciales téléphoniques et par email, - accueil des clients et mise en main des voiliers. Vous rencontrerez éventuellement la clientèle lors du salon nautique de Paris ou d'autres salons à définir. Vous référencerez nos produits auprès des agences françaises mais aussi à l'étranger et développerez les relations avec celles-ci. Vous suivrez et développerez l'activité avec les entreprises mais aussi les comités ou association d'entreprises ainsi qu'avec les associations de pratique de la voile (Cruising Club Suisse, GCIF...). Vous interviendrez, en étroite collaboration avec Marc LEPESQUEUX, sur le développement commercial et le marketing de Cap West (mise à jour site internet et des réseaux sociaux, mise en ligne d'offres commerciales ), éditions de brochures, emailing. Vous serez en charge de charges administratives et comptables : - régler les factures fournisseurs - pointer les opérations bancaires - éditer, pointer et relancer les factures de ventes - suivi des taches administratives - réalisation et évolutions des documents du bord ou obligations - relations fournisseurs. Une bonne connaissance du secteur du nautisme et une la pratique de la voile seront un plus.  Il est envisageable de mettre en place du télétravail. 35 heures : lundi mardi, mercredi, jeudi et vendredi : 9h -> 12h 14h00 -> 18h00"
"Assistant / Assistante marketing (H/F)","62 - LABOURSE","62113","M1705","77","77.39Z","CDD","N/A","Temps plein","Débutant accepté","Bac ou équivalent","1","Manœuvre","Fondée en 2020, Ets Massiet est un véritable partenaire pour les agriculteurs, paysagistes, entreprises de travaux publics et collectivités. Nous proposons un service global de maintenance et mettons à disposition, le matériel répondant aux besoins nos clients avec :  - Un parc de plus de 30 références disponibles à la location - Un large catalogue de matériels disponibles à la vente, au meilleur prix, résultat de partenariats avec des distributeurs et marques renommées pour leurs produits et leurs services.  Dans le cadre de notre développement, nous recherchons : ASSISTANT EN MARKETING (H/F)  Contrat d'alternance ou de professionnalisation Lieu de travail : Labourse (62)  Détail des missions : - Fabriquer les supports visuels de l'entreprise (Catalogues, publications, vidéos, audios) - Etablir et assurer le suivi de la communication sur les réseaux - Participer à l'organisation de salons et autres activités promotionnelles - Participer à l'organisation de l'atelier et du libre-service  Compétences requises : - Rigueur - Motivation - Conscience professionnelle - Sens artistique - Travail d'équipe   Salaire et avantages : A définir ensemble selon le profil   Les plus, coups de cœur Permis B Réalisation à présenter lors de l'entretien  Candidatures  par mail : pierre.massiet@ets-massiet.fr"
"Chargé / Chargée de projet marketing (H/F)","75 - PARIS 06","75006","M1705","56","56.10A","CDI","Mensuel de 2400.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","Bac+5 et plus ou équivalents","8","Agent de maîtrise","Activités principales :  Planification et Gestion de Projets  Élaboration et mise en œuvre des plans marketing en fonction des objectifs stratégiques de l'entreprise.  Coordination des différentes étapes d'un projet marketing : briefing, conception, validation, et exécution.  Gestion des budgets alloués aux actions marketing.  Analyse et Veille  Analyse des tendances du marché, de la concurrence, et des attentes clients.  Réalisation d'études quantitatives et qualitatives pour orienter les stratégies.  Mesure de la performance des actions menées à travers des KPIs et reporting régulier.  Communication et Gestion des Parties Prenantes  Collaboration avec les équipes internes (design, commercial, digital) et coordination des agences externes (communication, publicité).  Organisation de présentations et de réunions de suivi avec les parties prenantes.  Gestion des campagnes publicitaires sur différents supports (digitaux et traditionnels).  Développement des Outils Marketing  Création et optimisation des contenus marketing (brochures, newsletters, posts réseaux sociaux, etc.).  Mise en place de stratégies d'acquisition et de rétention client.  Participation à des événements (salons, conférences) pour promouvoir la marque.  Responsabilités du Poste :  Garantir la qualité et le respect des délais des projets.  Assurer la cohérence entre les actions marketing et les valeurs de l'entreprise.  Répondre aux attentes des clients internes et externes avec des solutions adaptées.  Gérer les éventuels imprévus ou obstacles dans la réalisation des projets.  Conditions d'exercice :  Poste basé en entreprise, avec possibilité de télétravail partiel selon les politiques internes.  Environnement de travail dynamique et collaboratif, impliquant des interactions avec différents services.  Déplacements ponctuels pour participer à des événements ou rencontrer des partenaires.  Conditions horaires :  Temps plein 35 heures/semaine   Flexibilité demandée pour gérer les pics d'activité en fonction des projets ou des événements.  Environnement de travail :  Bureau équipé d'outils informatiques et logiciels de gestion de projets marketing.  Compétences et Qualités Requises :  Compétences techniques :  Maîtrise des outils de marketing digital (SEO, SEA, CRM, outils d'analyse).  Bonne connaissance des techniques de communication et de promotion.  Capacité à analyser et interpréter des données marketing.  Qualités personnelles :  Organisation et rigueur.  Créativité et esprit d'innovation.  Excellente communication orale et écrite.  Capacité à travailler sous pression et à respecter les deadlines."
"Chargé-e de Web Marketing / Réseaux Sociaux (H/F)","32 - Cassaigne","32100","E1103","32","32.99Z","CDD","N/A","Temps plein","36 Mois","N/A","7","Technicien","Qui sommes-nous ? Nous développons deux grandes missions :  Form2Fab : Formation à la conception 3D et à la fabrication numérique pour professionnels et particuliers. Fabbee : Projet innovant de fabrication numérique d'aménagements et systèmes de rangement sur mesure, une vitrine de notre savoir-faire, récemment intégré à un incubateur dédié à l'innovation. Et vous dans tout ça ? Vous serez au cœur de notre stratégie digitale, avec pour mission de faire décoller nos réseaux sociaux, générer des leads qualifiés, et incarner nos marques auprès de nos prospects et apprenants.  Vos missions 1. Faire briller nos réseaux sociaux Concevoir et piloter une stratégie pour développer notre présence en ligne. Créer et publier des contenus engageants et impactants (articles, vidéos, témoignages). Suivre et analyser les performances pour optimiser nos actions. 2. Générer des leads qualifiés Lancer des campagnes digitales (Social Ads, Google Ads, newsletters) pour attirer des prospects B2C et B2B. Enrichir nos sites web pour convertir les visiteurs en leads. Valoriser les réalisations de Fabbee pour inspirer de nouveaux apprenants et clients. 3. Interaction avec nos prospects Échanger avec nos futurs apprenants et leads entrants pour qualifier leurs besoins. Répondre à leurs premières questions et établir un contact chaleureux et professionnel. 4. Incarner nos marques Représenter Fabbee et Form2Fab lors d'événements physiques ou en ligne. Renforcer la connexion avec nos audiences en partageant notre vision et nos valeurs. Votre profil Expérience avérée en gestion et animation de réseaux sociaux avec des résultats concrets. Créatif-ve, passionné-e par le digital et rigoureux-se. Maîtrise de WordPress et des outils d'analyse. À l'aise dans les interactions, en ligne comme en face à face. Autonome dans vos projets, tout en appréciant le travail en équipe. Pourquoi nous rejoindre ? Un projet porteur de sens : fabriquez localement, innovez digitalement. Un environnement stimulant : Fabbee est accompagné par un incubateur dédié à l'innovation. Un impact direct : vos actions feront grandir nos marques et nos communautés. Une équipe engagée : partagez notre passion pour l'innovation et le digital. Envie de nous rejoindre ? Envoyez-nous votre CV accompagné d'une note sur ce que vous apporteriez à Fabbee et Form2Fab. Nous avons hâte de découvrir vos idées !"
"Chargé-e de Web Marketing / Réseaux Sociaux (H/F)","47 - NERAC","47600","E1103","32","32.99Z","CDD","N/A","Temps plein","36 Mois","N/A","7","Technicien","Qui sommes-nous ? Nous développons deux grandes missions :  Form2Fab : Formation à la conception 3D et à la fabrication numérique pour professionnels et particuliers. Fabbee : Projet innovant de fabrication numérique d'aménagements et systèmes de rangement sur mesure, une vitrine de notre savoir-faire, récemment intégré à un incubateur dédié à l'innovation. Et vous dans tout ça ? Vous serez au cœur de notre stratégie digitale, avec pour mission de faire décoller nos réseaux sociaux, générer des leads qualifiés, et incarner nos marques auprès de nos prospects et apprenants.  Vos missions 1. Faire briller nos réseaux sociaux Concevoir et piloter une stratégie pour développer notre présence en ligne. Créer et publier des contenus engageants et impactants (articles, vidéos, témoignages). Suivre et analyser les performances pour optimiser nos actions. 2. Générer des leads qualifiés Lancer des campagnes digitales (Social Ads, Google Ads, newsletters) pour attirer des prospects B2C et B2B. Enrichir nos sites web pour convertir les visiteurs en leads. Valoriser les réalisations de Fabbee pour inspirer de nouveaux apprenants et clients. 3. Interaction avec nos prospects Échanger avec nos futurs apprenants et leads entrants pour qualifier leurs besoins. Répondre à leurs premières questions et établir un contact chaleureux et professionnel. 4. Incarner nos marques Représenter Fabbee et Form2Fab lors d'événements physiques ou en ligne. Renforcer la connexion avec nos audiences en partageant notre vision et nos valeurs. Votre profil Expérience avérée en gestion et animation de réseaux sociaux avec des résultats concrets. Créatif-ve, passionné-e par le digital et rigoureux-se. Maîtrise de WordPress et des outils d'analyse. À l'aise dans les interactions, en ligne comme en face à face. Autonome dans vos projets, tout en appréciant le travail en équipe. Pourquoi nous rejoindre ? Un projet porteur de sens : fabriquez localement, innovez digitalement. Un environnement stimulant : Fabbee est accompagné par un incubateur dédié à l'innovation. Un impact direct : vos actions feront grandir nos marques et nos communautés. Une équipe engagée : partagez notre passion pour l'innovation et le digital. Envie de nous rejoindre ? Envoyez-nous votre CV accompagné d'une note sur ce que vous apporteriez à Fabbee et Form2Fab. Nous avons hâte de découvrir vos idées !"
"Chef de Produit Marketing International IVD - Hémostase (H/F)","34 - MONTPELLIER","34000","M1703","26","26.51B","CDI","N/A","Temps plein","5 An(s)","N/A","9","Cadre","Rattaché(e) au département Marketing International, vous assurez la promotion et le suivi d'une ligne de produits de réactifs et d'automates d'analyses médicales dans le monde et participez à la définition des futurs produits.  Vous définissez la stratégie de commercialisation (business développement, positionnement, concurrence, produits, marché, prix) et vous développez des outils promotionnels pertinents de la ligne de produits dont vous avez la charge. Vous participez au développement de nouveaux produits (spécifications, mode projet.). Vous assurez le support scientifique, technique et commercial des produits auprès de nos filiales et de nos réseaux de vente. Vous suivez l'évolution des ventes et la profitabilité de votre ligne de produits.  Doté(e) d'une formation supérieure en vente/marketing (bac+5), vous justifiez d'une expérience confirmée en tant que chef de marché/produit, idéalement dans le monde du diagnostic in vitro et plus particulièrement en hémostase (connaissances techniques et scientifiques, connaissance de la concurrence, des produits, du marché et des politiques de prix). Vous êtes capable de recueillir, harmoniser et diffuser l'information. Vous faites preuve de créativité et d'esprit de synthèse. Vous avez de grandes capacités d'adaptation en fonction de vos interlocuteurs et des méthodes de travail. Personne de communication, vous êtes dynamique et possédez la fibre commerciale. Vous êtes capable d'animer un webinaire et/ou un symposium et de gérer notamment une évaluation chez un client. Vous parlez couramment l'anglais et maîtrisez les outils bureautiques. La maîtrise de l'espagnol serait un plus. De fréquents déplacements internationaux sont à prévoir."
"Professeur en marketing international (H/F)","54 - NANCY","54000","K2108","85","85.42Z","CDI","N/A","Temps plein","48 Mois","N/A","9","Cadre","Conformément à sa mission et à sa vision, l'école de commerce ICN valorise l'ouverture, l'engagement et l'esprit d'équipe du corps enseignant, du personnel et des étudiants. L'école compte 3 000 étudiants, un corps professoral international de plus de 80 professeurs, plus de 120 universités partenaires dans le monde et un vaste réseau d'entreprises. Elle propose un large éventail de programmes, dont un bachelor et un MSc en gestion, des masters spécialisés, un Executive MBA, un doctorat, ainsi que des programmes exécutifs non diplômants. Le poste pourra être basé à Paris ou à Nancy, des cours seront à dispenser sur les deux sites.   ICN attend de son corps professoral un engagement en faveur d'une recherche, d'un enseignement et d'un soutien aux étudiants de grande qualité. L'école offre une rémunération attrayante et un ensemble de mesures incitatives, en fonction du poste et des qualifications du candidat retenu. Des primes financières pour les publications dans des revues sélectionnées sont offertes.  Le/la candidat(e) idéal(e) pour ce poste a déjà acquis de l'expérience dans des postes de direction universitaire. Il/elle aura une expérience de l'enseignement et un intérêt marqué pour la recherche dans le domaine du marketing international, y compris l'import-export, les techniques commerciales internationales, etc. Le/la candidat(e) devra codiriger le département sur les trois campus, y compris la planification des ressources d'enseignement et l'attribution des cours, avec la perspective de prendre la responsabilité complète du département au bout d'environ 12 mois.  Il/elle doit viser l'excellence en matière de recherche, de préférence en lien avec les principaux thèmes de recherche de l'école, et enseigner à des publics multiples (licence, master, formation continue) sur les différents campus et sites d'enseignement de l'école. Les candidats doivent également démontrer leur volonté d'innover dans la conception des cours, du matériel pédagogique et des méthodes d'enseignement, notamment numériques.  Pour ce poste, la maîtrise de l'anglais et du français est requise. En outre, nous attendons du/de la candidat(e) qu'il/elle devienne membre du laboratoire de recherche CEREFIGE.   Pour être nommé professeur associé F/H, les candidats doivent être titulaires d'un doctorat et avoir plusieurs années d'expérience professionnelle dans l'enseignement supérieur ou la recherche, avoir fait preuve d'excellence dans la recherche en publiant dans des revues de renommée internationale et avoir démontré la qualité de leur enseignement."
"Chargé de marketing opérationnel H/F (H/F)","974 - LE PORT","97420","M1705","78","78.20Z","CDI","N/A","Temps plein","3 An(s)","N/A","8","Agent de maîtrise","Perspective RH recherche pour l'un de ses clients, un acteur local du secteur des spiritueux, un chargé de marketing opérationnel (h/f).  Votre rôle : En tant que Chargé de Marketing Opérationnel, vous serez rattaché(e) au Responsable Marketing et deviendrez l'ambassadeur quotidien de nos marques. Vous jouerez un rôle clé en faisant le lien entre les équipes de vente, marketing et nos clients. Vous contribuerez à l'élaboration et à l'exécution des plans d'actions afin d'atteindre les objectifs fixés.  Vos missions principales : - Définir et mettre en œuvre les plans d'actions annuels en collaboration avec le Responsable Marketing. - Développer des dispositifs opérationnels, promotionnels et événementiels sur les marchés Off trade et On trade. - Planifier et coordonner les actions avec les équipes marketing, fournisseurs, prestataires, équipes de vente et clients. - Collaborer avec les forces de vente pour assurer la mise en œuvre du marketing opérationnel : présentation, suivi des opérations, mise à jour et développement des outils d'aide à la vente. - Gérer les relations avec les fournisseurs et prestataires, en veillant au respect des délais et à la qualité des prestations. - Superviser les outils promotionnels, de la définition du besoin à la gestion des stocks, en passant par le calcul et la négociation des coûts des opérations. - Gérer les budgets alloués au marketing opérationnel. - Assurer une veille active sur le marché, analyser les ventes et faire des reportings aux équipes concernées. - Participer à des missions annexes dans les domaines du merchandising, du category management, de la communication et de l'innovation.  Votre profil : Issu(e) d'une formation en marketing ou communication, vous êtes passionné(e) par les marques et avez une ou plusieurs expériences réussies dans des missions similaires. Idéalement, vous connaissez le marché réunionnais, les produits de grande consommation et les spiritueux. Une expérience commerciale serait un atout majeur.  Vos atouts pour réussir :  - Dynamisme et rigueur, avec une grande capacité d'autonomie et d'initiative. - Vision stratégique et compétences en négociation. - Créativité alliée à un esprit agile et pragmatique. - Excellentes qualités relationnelles et capacité à convaincre et à susciter l'adhésion.  Ce que nous offrons : - Poste basé au Port, Île de la Réunion, avec des déplacements occasionnels. - Rémunération attractive : fixe + prime sur objectif + carte ticket restaurant + intéressement + 13ème mois (sous condition d'ancienneté). - Un environnement de travail dynamique et stimulant.  Prêt à relever ce défi ? Envoyez-nous votre candidature en toute confidentialité et rejoignez une équipe passionnée et dédiée à l'excellence."
"Assistant Commercial, Marketing et ADV (f/h)","31 - PONLAT TAILLEBOURG","31210","M1705","47","47.91B","CDI","Annuel de 22000.00 Euros sur 12 mois","Temps plein","6 Mois","N/A","8","Agent de maîtrise","Gestion des commandes par téléphone, fax, courrier, messagerie ou EDI Renseigner les clients à propos des prix, délais, nouveaux produits. Enregistrer leurs commandes et leurs délais S'assurer des livraisons dans les délais S'occuper des démarches liées à l'export, si besoin Saisir et éditer les éléments nécessaires à la livraison et à la facturation Gestion des catalogues et des campagnes de E-mailing Tenir à jour les catalogues produits sur CANVA Participer, Informer lors des salons Relancer des prospects et des clients Suivi des clients Régler les problèmes ou petits litiges liés aux commandes ou aux livraisons Gérer les dossiers commerciaux Actualiser les échéanciers et les tableaux de bord : statistiques produits, clients, vendeurs, évolution des groupements. Informer les attachés commerciaux et la direction commerciale Actualisation des bases de données et diffusion de l'information commerciale  Saisir les nouveaux produits référencés en centrales, ainsi que leurs caractéristiques  Éliminer les produits abandonnés Diffuser les évolutions de prix, les publicités et les prévisions de vente avec leurs dates/ échéances Organiser et transmettre les commandes et prévisions pour les lancements et les expéditions Résultats attendus Commandes saisies, honorées et payées dans les délais Nombre et importance des clients traités et fidélisés Tableaux de suivi actualisés et transmis Relations de qualité avec les clients et les collègues des autres services Autonomie et responsabilité Ce poste est sous la responsabilité de notre responsable administrative et financière  Autonome dans son travail, il ou elle est responsable de la gestion des commandes et du suivi des clients dans le cadre de la politique commerciale et marketing de l'entreprise.  Environnement de travail Il ou elle travaille à des horaires normaux, dans un bureau de type open space, en permanence au téléphone, devant son écran, ou les deux simultanément. Il ou elle peut être amené(e) à participer à des salons professionnels ou des événements en station. Une bonne pratique du ski est un plus également.  Compétences spécifiques Gérer une commande et un dossier client, du début à la fin S'informer et transmettre l'information efficacement : être à l'écoute, poser les questions pertinentes, reformuler, etc. Connaître l'environnement du ski est un vrai plus. "
"Responsable Marketing (H/F)","75 - PARIS 07","75007","M1705","93","93.19Z","CDI","Mensuel de 2500.0 Euros à 2750.0 Euros sur 12.0 mois","Temps plein","Débutant accepté","Bac+5 et plus ou équivalents","6","Employé qualifié","Missions Principales : - Développer des stratégies marketing pour promouvoir la marque Gracie Barra Paris et attirer de nouveaux membres. - Gérer les réseaux sociaux, en produisant du contenu pertinent et en engageant activement notre communauté. - Analyser le marché et la concurrence afin d'ajuster les stratégies marketing de manière proactive. - Collaborer avec les différentes équipes pour concevoir et exécuter des campagnes publicitaires efficaces. - Gérer et suivre les campagnes marketing digitales, y compris le SEO, SEM, et les campagnes d'emailing. - Utiliser des outils d'analyse pour évaluer la performance des campagnes et proposer des améliorations. - Participer à l'organisation d'événements et d'activités promotionnelles pour renforcer l'engagement de la communauté.  Profil Recherché : - Diplôme : Bac+5 en marketing, communication ou équivalent. - Qualifications : Certification ICP de la Gracie Barra Institute. - Compétences : o Maîtrise des outils bureautiques, en particulier Excel et autres logiciels de gestion. o Excellentes compétences en communication écrite et orale. o Expérience dans la gestion des réseaux sociaux et la création de contenu. o Capacité à utiliser des outils d'analyse de données marketing (Google Analytics, etc.). o Esprit créatif et capacité à travailler de manière autonome tout en étant un bon joueur d'équipe. - Connaissance du Jiu-Jitsu Brésilien (JJB) : La pratique et la connaissance du JJB sont un grand plus pour ce poste.  Pourquoi Nous Rejoindre : - Rejoignez une équipe passionnée par le sport et le développement personnel. - Travaillez au sein d'une académie reconnue mondialement, située en plein cœur de Paris. - Profitez d'opportunités d'évolution professionnelle dans un environnement dynamique. - Contribuez à la croissance d'une marque leader dans son domaine.  Comment Postuler : Envoyez votre CV et une lettre de motivation détaillant pourquoi vous souhaitez rejoindre Gracie Barra Paris "
"Chargé / Chargée de projet marketing (H/F)","75 - PARIS 09","75009","M1705","62","62.01Z","CDI","Mensuel de 1263.0 Euros à 1600.0 Euros sur 12.0 mois","Temps partiel","Débutant accepté","Bac+3, Bac+4 ou équivalents","6","Employé qualifié","Surveiller les opportunités d'affaires notamment au travers des appels d'offre évaluer l'adéquation des appels d'offres avec les objectifs commerciaux de l'entreprise et préparer des analyses de faisabilité coordonner la rédaction des réponses et soumettre les propositions en collaboration avec les équipes  collaborer avec l'équipe de créatifs pour produire des matériaux graphiques planifier et superviser la production"
"Chef de Projet Marketing Opérationnel (H/F)","69 - VILLEURBANNE","69100","M1705","65","65.12Z","CDI","Annuel de 30000.0 Euros sur 12.0 mois","Temps plein","2 An(s)","N/A","9","Cadre","Reportant à la Responsable du Pôle Marketing opérationnel, vous serez en charge des missions suivantes qui se divisent en trois axes :   1) Soutenir la performance commerciale :  -    Accompagner les lancements, évolutions d'offres et demandes diverses Assurer un suivi de l'activité. -    Se positionner en tant que spécialiste de la réalisation de supports sur différents formats (print, web, video.)   -    Participer à la rédaction de réponses aux appels d'offres -    Accompagner le développement commercial  -    Gérer les Welcome Pack et les stocks ainsi que les partenariats avec nos différents prestataires   2) Participer au développement de la notoriété du groupe en lien avec nos axes stratégiques : -    Réaliser des vidéos  -    Participer à la mise en place d'évènements ou d'actions de communications  -    Être garant de l'identité visuelle du groupe   3) Participation à l'activité du service :  -    Suivre la démarche RSE -    Suivre le budget -    Gérer la plateforme d'animations et les demandes liées -    Participer à des projets transverses   La liste des missions est non exhaustive, de nouvelles tâches pourront être confiées."
"Charge du marketing Digital et de la communication (H/F)","42 - ST ETIENNE","42000","G1401","55","55.10Z","CDI","Mensuel de 2700.0 Euros à 3000.0 Euros sur 12.0 mois","Temps plein","6 Mois","Bac+5 et plus ou équivalents","9","Cadre","Profil recherché : - Formation : Master II en marketing digital et communication ou équivalent, avec un diplôme de niveau Bac +5 au moins. - Expérience : Expérience professionnelle de 5 ans ou + - Compétences techniques : Maîtrise des outils numériques et des technologies de l'information (SEO, SEA, CRM, réseaux sociaux, réseaux informatiques...etc.). - Compétences interpersonnelles : Excellentes compétences en communication, pédagogie et capacité à travailler et former des équipes. - Polyvalence dans les métiers de l'hôtellerie et de la restauration : Travailler, en fonction des besoins de l'établissement, en tant que réceptionniste,          gestionnaire d'hébergement, Service en salle de restauration, Veille de nuit et participation à la mise au propre de l'établissement (Réception,          Salle de restauration et Espaces communs). - Langues : Maîtrise parfaite des langues suivantes : Français, Anglais et Arabe. Langue Kabyle fortement souhaitée. - Etre disponible de suite et libre de tout engagement - Qualités personnelles : Autonomie, adaptabilité, sens de l'innovation et de la créativité.  Missions principales : - Sensibilisation et formation : Organiser des ateliers et des formations pour les employés sur les outils numériques (systèmes de réservation en ligne,          CRM, marketing digital, etc.). - Accompagnement personnalisé : Aider les professionnels à utiliser efficacement les outils numériques pour optimiser leurs opérations et améliorer          l'expérience client. - Réduction de la fracture numérique : Faciliter l'accès aux technologies pour les employés et les clients ayant des difficultés avec le numérique. - Animation d'espaces numériques : Créer et animer des espaces dédiés à la médiation numérique. - Développement de projets numériques : Participer à la conception et à la mise en œuvre de projets numériques innovants (Intelligence artificielle et Chat          Bot..). - Mise en œuvre d'Audit de la politique Marketing digitale (technique et managérial)  - Analyse de la performance Marketing digitale en fonction des principaux KPi en la matière     En tant qu'adjoint de direction en charge du marketing Digital et de la communication, vous jouerez un rôle clé dans l'intégration et l'optimisation des outils numériques au sein de notre entreprise. Vous serez responsable de la sensibilisation, de la formation et de l'accompagnement des employés dans l'utilisation des technologies digitales pour améliorer la productivité et la qualité de service."
